Family,Scientific,Authority,Common,PlantGroup,Habitat,Native,Introduced
Apiaceae,Zizia aptera,(Gray) Fern.,Heart-leaved golden Alexanders,D,T,CT-RI,.
Apiaceae,Zizia aurea,(L.) W.D.J. Koch,Common golden Alexanders,D,TW,CT-MA-ME-NH-RI-VT,.
Aquifoliaceae,Ilex glabra,(L.) Gray,Inkberry,S,TW,CT-MA-ME-RI,.
Aquifoliaceae,Ilex laevigata,(Pursh) Gray,Smooth winterberry,S,TW,CT-MA-ME-NH-RI-VT,.
Aquifoliaceae,Ilex montana,Torr. & Gray ex Gray,Big-leaved holly,ST,T,CT-MA,.
Aquifoliaceae,Ilex mucronata,"(L.) Pow., Sav., & And.",Mountain holly,S,TW,CT-MA-ME-NH-RI-VT,.
Aquifoliaceae,Ilex opaca,Ait.,American holly,ST,TW,MA-RI,CT
Aquifoliaceae,Ilex verticillata,(L.) Gray,Common winterberry,S,TW,CT-MA-ME-NH-RI-VT,.
Asteraceae,Cirsium discolor,(Muhl. ex Willd.) Spreng.,Field thistle,D,TW,CT-MA-ME-NH-RI-VT,.
Asteraceae,Cirsium flodmanii,(Rydb.) Arthur,Flodman’s thistle,D,T,VT,.
Asteraceae,Cirsium horridulum,Michx.,Yellow thistle,D,T,CT-MA-ME-NH-RI,.
Asteraceae,Cirsium muticum,Michx.,Swamp thistle,D,TW,CT-MA-ME-NH-RI-VT,.
Asteraceae,Cirsium pumilum,(Nutt.) Spreng.,Pasture thistle,D,T,CT-MA-ME-NH-RI-VT,.
Asteraceae,Euthamia caroliniana,(L.) Greene ex Porter & Britt.,Coastal plain grass-leaved-goldenrod,D,TW,CT-MA-ME-NH-RI-VT,.
Asteraceae,Euthamia graminifolia,(L.) Nutt.,Common grass-leaved-goldenrod,D,TW,CT-MA-ME-NH-RI-VT,.
Asteraceae,Helianthus decapetalus,L.,Thin-leaved sunflower,D,T,CT-MA-ME-NH-RI-VT,.
Asteraceae,Helianthus divaricatus,L.,Woodland sunflower,D,T,CT-MA-ME-NH-RI-VT,.
Asteraceae,Helianthus strumosus,L.,Pale-leaved sunflower,D,TW,CT-MA-ME-NH-RI-VT,.
Asteraceae,Krigia biflora,Walt.,Two-flowered dwarf-dandelion,D,T,CT-MA,ME
Asteraceae,Krigia virginica,(L.) Willd.,Virginia dwarf-dandelion,D,T,CT-MA-ME-NH-RI-VT,.
Asteraceae,Solidago altissima,L.,Tall goldenrod,D,T,CT-MA-ME-NH-RI-VT,.
Asteraceae,Solidago arguta,Ait.,Forest goldenrod,D,T,CT-MA-ME-NH-RI-VT,.
