"folder","file","output","reval"
"retvals_40072.csv","https://naipeuwest.blob.core.windows.net/naip/v002/ny/2017/ny_100cm_2017/40072/m_4007201_ne_18_1_20170827.200.jpg","/storage/group/hlc30/default/data/deepflora/SCRATCH/ny_100cm_2017/40072/m_4007201_ne_18_1_20170827.200.jpg",0
"retvals_40072.csv","https://naipeuwest.blob.core.windows.net/naip/v002/ny/2017/ny_100cm_2017/40072/m_4007201_ne_18_1_20170827.200.jpg","/storage/group/hlc30/default/data/deepflora/SCRATCH/ny_100cm_2017/40072/m_4007201_ne_18_1_20170827.200.jpg",0
"retvals_40072.csv","https://naipeuwest.blob.core.windows.net/naip/v002/ny/2017/ny_100cm_2017/40072/m_4007201_ne_18_1_20170827.200.jpg.aux.xml","/storage/group/hlc30/default/data/deepflora/SCRATCH/ny_100cm_2017/40072/m_4007201_ne_18_1_20170827.200.jpg.aux.xml",0
"retvals_40072.csv","https://naipeuwest.blob.core.windows.net/naip/v002/ny/2017/ny_100cm_2017/40072/m_4007201_ne_18_1_20170827.tif","/storage/group/hlc30/default/data/deepflora/SCRATCH/ny_100cm_2017/40072/m_4007201_ne_18_1_20170827.tif",0
"retvals_40072.csv","https://naipeuwest.blob.core.windows.net/naip/v002/ny/2017/ny_100cm_2017/40072/m_4007201_nw_18_1_20170809.200.jpg","/storage/group/hlc30/default/data/deepflora/SCRATCH/ny_100cm_2017/40072/m_4007201_nw_18_1_20170809.200.jpg",0
"retvals_40072.csv","https://naipeuwest.blob.core.windows.net/naip/v002/ny/2017/ny_100cm_2017/40072/m_4007201_nw_18_1_20170809.200.jpg.aux.xml","/storage/group/hlc30/default/data/deepflora/SCRATCH/ny_100cm_2017/40072/m_4007201_nw_18_1_20170809.200.jpg.aux.xml",0
"retvals_40072.csv","https://naipeuwest.blob.core.windows.net/naip/v002/ny/2017/ny_100cm_2017/40072/m_4007201_nw_18_1_20170809.tif","/storage/group/hlc30/default/data/deepflora/SCRATCH/ny_100cm_2017/40072/m_4007201_nw_18_1_20170809.tif",0
"retvals_40072.csv","https://naipeuwest.blob.core.windows.net/naip/v002/ny/2017/ny_100cm_2017/40072/m_4007201_se_18_1_20170827.200.jpg","/storage/group/hlc30/default/data/deepflora/SCRATCH/ny_100cm_2017/40072/m_4007201_se_18_1_20170827.200.jpg",0
"retvals_40072.csv","https://naipeuwest.blob.core.windows.net/naip/v002/ny/2017/ny_100cm_2017/40072/m_4007201_se_18_1_20170827.200.jpg.aux.xml","/storage/group/hlc30/default/data/deepflora/SCRATCH/ny_100cm_2017/40072/m_4007201_se_18_1_20170827.200.jpg.aux.xml",0
"retvals_40072.csv","https://naipeuwest.blob.core.windows.net/naip/v002/ny/2017/ny_100cm_2017/40072/m_4007201_se_18_1_20170827.tif","/storage/group/hlc30/default/data/deepflora/SCRATCH/ny_100cm_2017/40072/m_4007201_se_18_1_20170827.tif",0
"retvals_40072.csv","https://naipeuwest.blob.core.windows.net/naip/v002/ny/2017/ny_100cm_2017/40072/m_4007201_sw_18_1_20170809.200.jpg","/storage/group/hlc30/default/data/deepflora/SCRATCH/ny_100cm_2017/40072/m_4007201_sw_18_1_20170809.200.jpg",0
"retvals_40072.csv","https://naipeuwest.blob.core.windows.net/naip/v002/ny/2017/ny_100cm_2017/40072/m_4007201_sw_18_1_20170809.200.jpg.aux.xml","/storage/group/hlc30/default/data/deepflora/SCRATCH/ny_100cm_2017/40072/m_4007201_sw_18_1_20170809.200.jpg.aux.xml",0
"retvals_40072.csv","https://naipeuwest.blob.core.windows.net/naip/v002/ny/2017/ny_100cm_2017/40072/m_4007201_sw_18_1_20170809.tif","/storage/group/hlc30/default/data/deepflora/SCRATCH/ny_100cm_2017/40072/m_4007201_sw_18_1_20170809.tif",0
"retvals_40072.csv","https://naipeuwest.blob.core.windows.net/naip/v002/ny/2017/ny_100cm_2017/40072/m_4007202_ne_18_1_20170809.200.jpg","/storage/group/hlc30/default/data/deepflora/SCRATCH/ny_100cm_2017/40072/m_4007202_ne_18_1_20170809.200.jpg",0
"retvals_40072.csv","https://naipeuwest.blob.core.windows.net/naip/v002/ny/2017/ny_100cm_2017/40072/m_4007202_ne_18_1_20170809.200.jpg.aux.xml","/storage/group/hlc30/default/data/deepflora/SCRATCH/ny_100cm_2017/40072/m_4007202_ne_18_1_20170809.200.jpg.aux.xml",0
