value,dset_name,band,model,loss,lr,epoch,exp_id,pretrained,batch_size,metric,thres,date,ID
0.0,plants_pa_2017,5,rf,nan,nan,nan,rf,nan,nan,precision_score,0.5,2026-05-22,3118446553
0.0,plants_pa_2017,5,rf,nan,nan,nan,rf,nan,nan,precision_score,0.5,2026-05-22,3923622393
0.0,plants_pa_2017,5,rf,nan,nan,nan,rf,nan,nan,precision_score,0.5,2026-05-22,3951512436
0.0,plants_pa_2017,5,rf,nan,nan,nan,rf,nan,nan,precision_score,0.5,2026-05-22,3956617337
0.0,plants_pa_2017,5,rf,nan,nan,nan,rf,nan,nan,precision_score,0.5,2026-05-22,3873649758
0.0,plants_pa_2017,5,rf,nan,nan,nan,rf,nan,nan,precision_score,0.5,2026-05-22,3998871654
0.0,plants_pa_2017,5,rf,nan,nan,nan,rf,nan,nan,precision_score,0.5,2026-05-22,3957292341
0.0,plants_pa_2017,5,rf,nan,nan,nan,rf,nan,nan,precision_score,0.5,2026-05-22,3954049773
0.0,plants_pa_2017,5,rf,nan,nan,nan,rf,nan,nan,precision_score,0.5,2026-05-22,3923417414
0.0,plants_pa_2017,5,rf,nan,nan,nan,rf,nan,nan,precision_score,0.5,2026-05-22,3959710868
0.0,plants_pa_2017,5,rf,nan,nan,nan,rf,nan,nan,precision_score,0.5,2026-05-22,3953442617
0.0,plants_pa_2017,5,rf,nan,nan,nan,rf,nan,nan,precision_score,0.5,2026-05-22,3955306470
0.0,plants_pa_2017,5,rf,nan,nan,nan,rf,nan,nan,precision_score,0.5,2026-05-22,2611340853
0.0,plants_pa_2017,5,rf,nan,nan,nan,rf,nan,nan,precision_score,0.5,2026-05-22,3456547353
0.0,plants_pa_2017,5,rf,nan,nan,nan,rf,nan,nan,precision_score,0.5,2026-05-22,2647085170
0.0,plants_pa_2017,5,rf,nan,nan,nan,rf,nan,nan,precision_score,0.5,2026-05-22,2975186696
0.0,plants_pa_2017,5,rf,nan,nan,nan,rf,nan,nan,precision_score,0.5,2026-05-22,3954512275
0.0,plants_pa_2017,5,rf,nan,nan,nan,rf,nan,nan,precision_score,0.5,2026-05-22,3925151737
0.0,plants_pa_2017,5,rf,nan,nan,nan,rf,nan,nan,precision_score,0.5,2026-05-22,3958835212
