value,dset_name,band,model,loss,lr,epoch,exp_id,pretrained,batch_size,metric,weight,thres,date
0.0,plants_ny_2017,0,rf,nan,nan,nan,rf,nan,nan,precision_score,macro,0.5,2026-05-26
0.0,plants_ny_2017,0,rf,nan,nan,nan,rf,nan,nan,precision_score,micro,0.5,2026-05-26
0.0,plants_ny_2017,0,rf,nan,nan,nan,rf,nan,nan,precision_score,weighted,0.5,2026-05-26
0.0,plants_ny_2017,0,rf,nan,nan,nan,rf,nan,nan,precision_score,samples,0.5,2026-05-26
0.0,plants_ny_2017,0,rf,nan,nan,nan,rf,nan,nan,recall_score,macro,0.5,2026-05-26
0.0,plants_ny_2017,0,rf,nan,nan,nan,rf,nan,nan,recall_score,micro,0.5,2026-05-26
0.0,plants_ny_2017,0,rf,nan,nan,nan,rf,nan,nan,recall_score,weighted,0.5,2026-05-26
0.0,plants_ny_2017,0,rf,nan,nan,nan,rf,nan,nan,recall_score,samples,0.5,2026-05-26
0.0,plants_ny_2017,0,rf,nan,nan,nan,rf,nan,nan,f1_score,macro,0.5,2026-05-26
0.0,plants_ny_2017,0,rf,nan,nan,nan,rf,nan,nan,f1_score,micro,0.5,2026-05-26
0.0,plants_ny_2017,0,rf,nan,nan,nan,rf,nan,nan,f1_score,weighted,0.5,2026-05-26
0.0,plants_ny_2017,0,rf,nan,nan,nan,rf,nan,nan,f1_score,samples,0.5,2026-05-26
0.0,plants_ny_2017,0,rf,nan,nan,nan,rf,nan,nan,jaccard_score,macro,0.5,2026-05-26
0.0,plants_ny_2017,0,rf,nan,nan,nan,rf,nan,nan,jaccard_score,micro,0.5,2026-05-26
0.0,plants_ny_2017,0,rf,nan,nan,nan,rf,nan,nan,jaccard_score,weighted,0.5,2026-05-26
0.0,plants_ny_2017,0,rf,nan,nan,nan,rf,nan,nan,jaccard_score,samples,0.5,2026-05-26
0.023966781127778218,plants_ny_2017,0,rf,nan,nan,nan,rf,nan,nan,label_ranking_average_precision_score,nan,nan,2026-05-26
0.0,plants_ny_2017,0,rf,nan,nan,nan,rf,nan,nan,zero_one_accuracy,nan,0.5,2026-05-26
0.002705139765554554,plants_ny_2017,0,rf,nan,nan,nan,rf,nan,nan,obs_top1,nan,0.5,2026-05-26
0.0014771048744460858,plants_ny_2017,0,rf,nan,nan,nan,rf,nan,nan,species_top1,nan,0.5,2026-05-26
0.013525698827772768,plants_ny_2017,0,rf,nan,nan,nan,rf,nan,nan,obs_top5,nan,0.5,2026-05-26
0.007385524372230428,plants_ny_2017,0,rf,nan,nan,nan,rf,nan,nan,species_top5,nan,0.5,2026-05-26
0.013225127742711151,plants_ny_2017,0,rf,nan,nan,nan,rf,nan,nan,obs_top30,nan,0.5,2026-05-26
0.019289251889825353,plants_ny_2017,0,rf,nan,nan,nan,rf,nan,nan,species_top30,nan,0.5,2026-05-26
0.03757138563270213,plants_ny_2017,0,rf,nan,nan,nan,rf,nan,nan,obs_top100,nan,0.5,2026-05-26
0.05769397862542359,plants_ny_2017,0,rf,nan,nan,nan,rf,nan,nan,species_top100,nan,0.5,2026-05-26
0.4999547605997735,plants_ny_2017,0,rf,nan,nan,nan,rf,nan,nan,ROC_AUC,nan,nan,2026-05-26
0.0114572944363128,plants_ny_2017,0,rf,nan,nan,nan,rf,nan,nan,PRC_AUC,nan,nan,2026-05-26
0.4999536303362141,plants_ny_2017,0,rf,nan,nan,nan,rf,nan,nan,calibrated_ROC_AUC,nan,nan,2026-05-26
0.012778752106065747,plants_ny_2017,0,rf,nan,nan,nan,rf,nan,nan,calibrated_PRC_AUC,nan,nan,2026-05-26
