value,dset_name,band,model,loss,lr,epoch,exp_id,pretrained,batch_size,metric,thres,date,ID
0.0,plants_ny_2017,-1,rf,nan,nan,nan,rf,nan,nan,precision_score,0.5,2026-05-26,3892566750
0.0,plants_ny_2017,-1,rf,nan,nan,nan,rf,nan,nan,precision_score,0.5,2026-05-26,1986599254
0.0,plants_ny_2017,-1,rf,nan,nan,nan,rf,nan,nan,precision_score,0.5,2026-05-26,5760227301
0.0,plants_ny_2017,-1,rf,nan,nan,nan,rf,nan,nan,precision_score,0.5,2026-05-26,3954241015
0.0,plants_ny_2017,-1,rf,nan,nan,nan,rf,nan,nan,precision_score,0.5,2026-05-26,4021999318
0.0,plants_ny_2017,-1,rf,nan,nan,nan,rf,nan,nan,precision_score,0.5,2026-05-26,1990467743
0.0,plants_ny_2017,-1,rf,nan,nan,nan,rf,nan,nan,precision_score,0.5,2026-05-26,4527936333
0.0,plants_ny_2017,-1,rf,nan,nan,nan,rf,nan,nan,precision_score,0.5,2026-05-26,2012950998
0.0,plants_ny_2017,-1,rf,nan,nan,nan,rf,nan,nan,precision_score,0.5,2026-05-26,3986188434
0.0,plants_ny_2017,-1,rf,nan,nan,nan,rf,nan,nan,precision_score,0.5,2026-05-26,3958642569
0.0,plants_ny_2017,-1,rf,nan,nan,nan,rf,nan,nan,precision_score,0.5,2026-05-26,2603498258
0.0,plants_ny_2017,-1,rf,nan,nan,nan,rf,nan,nan,precision_score,0.5,2026-05-26,2634234086
0.0,plants_ny_2017,-1,rf,nan,nan,nan,rf,nan,nan,precision_score,0.5,2026-05-26,4516182436
0.0,plants_ny_2017,-1,rf,nan,nan,nan,rf,nan,nan,precision_score,0.5,2026-05-26,2603411007
0.0,plants_ny_2017,-1,rf,nan,nan,nan,rf,nan,nan,precision_score,0.5,2026-05-26,2603373024
0.0,plants_ny_2017,-1,rf,nan,nan,nan,rf,nan,nan,precision_score,0.5,2026-05-26,2864736363
0.0,plants_ny_2017,-1,rf,nan,nan,nan,rf,nan,nan,precision_score,0.5,2026-05-26,2634219051
0.0,plants_ny_2017,-1,rf,nan,nan,nan,rf,nan,nan,precision_score,0.5,2026-05-26,2620046082
0.0,plants_ny_2017,-1,rf,nan,nan,nan,rf,nan,nan,precision_score,0.5,2026-05-26,2802593585
0.0,plants_ny_2017,-1,rf,nan,nan,nan,rf,nan,nan,precision_score,0.5,2026-05-26,2603441967
0.0,plants_ny_2017,-1,rf,nan,nan,nan,rf,nan,nan,precision_score,0.5,2026-05-26,2619894860
0.0,plants_ny_2017,-1,rf,nan,nan,nan,rf,nan,nan,precision_score,0.5,2026-05-26,3743083335
0.0,plants_ny_2017,-1,rf,nan,nan,nan,rf,nan,nan,precision_score,0.5,2026-05-26,2603429992
0.0,plants_ny_2017,-1,rf,nan,nan,nan,rf,nan,nan,precision_score,0.5,2026-05-26,4522563460
0.0,plants_ny_2017,-1,rf,nan,nan,nan,rf,nan,nan,precision_score,0.5,2026-05-26,3337436300
0.0,plants_ny_2017,-1,rf,nan,nan,nan,rf,nan,nan,precision_score,0.5,2026-05-26,3960223177
0.0,plants_ny_2017,-1,rf,nan,nan,nan,rf,nan,nan,precision_score,0.5,2026-05-26,3337520418
0.0,plants_ny_2017,-1,rf,nan,nan,nan,rf,nan,nan,precision_score,0.5,2026-05-26,3998994510
0.0,plants_ny_2017,-1,rf,nan,nan,nan,rf,nan,nan,precision_score,0.5,2026-05-26,3455405307
0.0,plants_ny_2017,-1,rf,nan,nan,nan,rf,nan,nan,precision_score,0.5,2026-05-26,3337822856
0.0,plants_ny_2017,-1,rf,nan,nan,nan,rf,nan,nan,precision_score,0.5,2026-05-26,4921638176
0.0,plants_ny_2017,-1,rf,nan,nan,nan,rf,nan,nan,precision_score,0.5,2026-05-26,2823081282
0.0,plants_ny_2017,-1,rf,nan,nan,nan,rf,nan,nan,precision_score,0.5,2026-05-26,4028833416
0.0,plants_ny_2017,-1,rf,nan,nan,nan,rf,nan,nan,precision_score,0.5,2026-05-26,3951549595
0.0,plants_ny_2017,-1,rf,nan,nan,nan,rf,nan,nan,precision_score,0.5,2026-05-26,3958859849
0.0,plants_ny_2017,-1,rf,nan,nan,nan,rf,nan,nan,precision_score,0.5,2026-05-26,3954511732
0.0,plants_ny_2017,-1,rf,nan,nan,nan,rf,nan,nan,precision_score,0.5,2026-05-26,3994256709
0.0,plants_ny_2017,-1,rf,nan,nan,nan,rf,nan,nan,precision_score,0.5,2026-05-26,3079821227
0.0,plants_ny_2017,-1,rf,nan,nan,nan,rf,nan,nan,precision_score,0.5,2026-05-26,3079789164
0.0,plants_ny_2017,-1,rf,nan,nan,nan,rf,nan,nan,precision_score,0.5,2026-05-26,5076712512
0.0,plants_ny_2017,-1,rf,nan,nan,nan,rf,nan,nan,precision_score,0.5,2026-05-26,5076723599
0.0,plants_ny_2017,-1,rf,nan,nan,nan,rf,nan,nan,precision_score,0.5,2026-05-26,3113334925
0.0,plants_ny_2017,-1,rf,nan,nan,nan,rf,nan,nan,precision_score,0.5,2026-05-26,3415812386
0.0,plants_ny_2017,-1,rf,nan,nan,nan,rf,nan,nan,precision_score,0.5,2026-05-26,2366154218
0.0,plants_ny_2017,-1,rf,nan,nan,nan,rf,nan,nan,precision_score,0.5,2026-05-26,5062506887
0.0,plants_ny_2017,-1,rf,nan,nan,nan,rf,nan,nan,precision_score,0.5,2026-05-26,4527925398
0.0,plants_ny_2017,-1,rf,nan,nan,nan,rf,nan,nan,precision_score,0.5,2026-05-26,3958281734
0.0,plants_ny_2017,-1,rf,nan,nan,nan,rf,nan,nan,precision_score,0.5,2026-05-26,3953584393
0.0,plants_ny_2017,-1,rf,nan,nan,nan,rf,nan,nan,precision_score,0.5,2026-05-26,4863434168
0.0,plants_ny_2017,-1,rf,nan,nan,nan,rf,nan,nan,precision_score,0.5,2026-05-26,2423190419
0.0,plants_ny_2017,-1,rf,nan,nan,nan,rf,nan,nan,precision_score,0.5,2026-05-26,3391287603
0.0,plants_ny_2017,-1,rf,nan,nan,nan,rf,nan,nan,precision_score,0.5,2026-05-26,2540745502
0.0,plants_ny_2017,-1,rf,nan,nan,nan,rf,nan,nan,precision_score,0.5,2026-05-26,2366089907
0.0,plants_ny_2017,-1,rf,nan,nan,nan,rf,nan,nan,precision_score,0.5,2026-05-26,3892648510
0.0,plants_ny_2017,-1,rf,nan,nan,nan,rf,nan,nan,precision_score,0.5,2026-05-26,4400377492
0.0,plants_ny_2017,-1,rf,nan,nan,nan,rf,nan,nan,precision_score,0.5,2026-05-26,4522500358
0.0,plants_ny_2017,-1,rf,nan,nan,nan,rf,nan,nan,precision_score,0.5,2026-05-26,3881783510
0.0,plants_ny_2017,-1,rf,nan,nan,nan,rf,nan,nan,precision_score,0.5,2026-05-26,4009855640
0.0,plants_ny_2017,-1,rf,nan,nan,nan,rf,nan,nan,precision_score,0.5,2026-05-26,4129855358
0.0,plants_ny_2017,-1,rf,nan,nan,nan,rf,nan,nan,precision_score,0.5,2026-05-26,3399181517
0.0,plants_ny_2017,-1,rf,nan,nan,nan,rf,nan,nan,precision_score,0.5,2026-05-26,4516250503
0.0,plants_ny_2017,-1,rf,nan,nan,nan,rf,nan,nan,precision_score,0.5,2026-05-26,3947586649
0.0,plants_ny_2017,-1,rf,nan,nan,nan,rf,nan,nan,precision_score,0.5,2026-05-26,3888993478
0.0,plants_ny_2017,-1,rf,nan,nan,nan,rf,nan,nan,precision_score,0.5,2026-05-26,5897202979
0.0,plants_ny_2017,-1,rf,nan,nan,nan,rf,nan,nan,precision_score,0.5,2026-05-26,3860014111
0.0,plants_ny_2017,-1,rf,nan,nan,nan,rf,nan,nan,precision_score,0.5,2026-05-26,4145587391
0.0,plants_ny_2017,-1,rf,nan,nan,nan,rf,nan,nan,precision_score,0.5,2026-05-26,3959923790
0.0,plants_ny_2017,-1,rf,nan,nan,nan,rf,nan,nan,precision_score,0.5,2026-05-26,3985724242
0.0,plants_ny_2017,-1,rf,nan,nan,nan,rf,nan,nan,precision_score,0.5,2026-05-26,3959112274
0.0,plants_ny_2017,-1,rf,nan,nan,nan,rf,nan,nan,precision_score,0.5,2026-05-26,4018281472
0.0,plants_ny_2017,-1,rf,nan,nan,nan,rf,nan,nan,precision_score,0.5,2026-05-26,2311334183
0.0,plants_ny_2017,-1,rf,nan,nan,nan,rf,nan,nan,precision_score,0.5,2026-05-26,4946557731
0.0,plants_ny_2017,-1,rf,nan,nan,nan,rf,nan,nan,precision_score,0.5,2026-05-26,5007185890
0.0,plants_ny_2017,-1,rf,nan,nan,nan,rf,nan,nan,precision_score,0.5,2026-05-26,3325942434
0.0,plants_ny_2017,-1,rf,nan,nan,nan,rf,nan,nan,precision_score,0.5,2026-05-26,3335105126
0.0,plants_ny_2017,-1,rf,nan,nan,nan,rf,nan,nan,precision_score,0.5,2026-05-26,4527921526
0.0,plants_ny_2017,-1,rf,nan,nan,nan,rf,nan,nan,precision_score,0.5,2026-05-26,4528177550
0.0,plants_ny_2017,-1,rf,nan,nan,nan,rf,nan,nan,precision_score,0.5,2026-05-26,3764167762
0.0,plants_ny_2017,-1,rf,nan,nan,nan,rf,nan,nan,precision_score,0.5,2026-05-26,3998461567
0.0,plants_ny_2017,-1,rf,nan,nan,nan,rf,nan,nan,precision_score,0.5,2026-05-26,3399202666
0.0,plants_ny_2017,-1,rf,nan,nan,nan,rf,nan,nan,precision_score,0.5,2026-05-26,3902508971
0.0,plants_ny_2017,-1,rf,nan,nan,nan,rf,nan,nan,precision_score,0.5,2026-05-26,4440731445
0.0,plants_ny_2017,-1,rf,nan,nan,nan,rf,nan,nan,precision_score,0.5,2026-05-26,3330438528
0.0,plants_ny_2017,-1,rf,nan,nan,nan,rf,nan,nan,precision_score,0.5,2026-05-26,3335436597
0.0,plants_ny_2017,-1,rf,nan,nan,nan,rf,nan,nan,precision_score,0.5,2026-05-26,4039179671
0.0,plants_ny_2017,-1,rf,nan,nan,nan,rf,nan,nan,precision_score,0.5,2026-05-26,3747087433
0.0,plants_ny_2017,-1,rf,nan,nan,nan,rf,nan,nan,precision_score,0.5,2026-05-26,3330769529
0.0,plants_ny_2017,-1,rf,nan,nan,nan,rf,nan,nan,precision_score,0.5,2026-05-26,3325646544
0.0,plants_ny_2017,-1,rf,nan,nan,nan,rf,nan,nan,precision_score,0.5,2026-05-26,4039241471
0.0,plants_ny_2017,-1,rf,nan,nan,nan,rf,nan,nan,precision_score,0.5,2026-05-26,3384690572
0.0,plants_ny_2017,-1,rf,nan,nan,nan,rf,nan,nan,precision_score,0.5,2026-05-26,3039365541
0.0,plants_ny_2017,-1,rf,nan,nan,nan,rf,nan,nan,precision_score,0.5,2026-05-26,2850608639
0.0,plants_ny_2017,-1,rf,nan,nan,nan,rf,nan,nan,precision_score,0.5,2026-05-26,2868269327
0.0,plants_ny_2017,-1,rf,nan,nan,nan,rf,nan,nan,precision_score,0.5,2026-05-26,3998965151
0.0,plants_ny_2017,-1,rf,nan,nan,nan,rf,nan,nan,precision_score,0.5,2026-05-26,5932339559
0.0,plants_ny_2017,-1,rf,nan,nan,nan,rf,nan,nan,precision_score,0.5,2026-05-26,6130679164
0.0,plants_ny_2017,-1,rf,nan,nan,nan,rf,nan,nan,precision_score,0.5,2026-05-26,3455422802
0.0,plants_ny_2017,-1,rf,nan,nan,nan,rf,nan,nan,precision_score,0.5,2026-05-26,6131474573
