"genus","species","pa","ny","total","pa.pc","ny.pc"
"Abelmoschus","Abelmoschus esculentus",6,7,13,46.1538461538462,53.8461538461538
"Abies","Abies balsamea",18,363,381,4.7244094488189,95.2755905511811
"Abies","Abies concolor",1,19,20,5,95
"Abutilon","Abutilon theophrasti",500,472,972,51.440329218107,48.559670781893
"Acalypha","Acalypha gracilens",1,3,4,25,75
"Acalypha","Acalypha rhomboidea",48,288,336,14.2857142857143,85.7142857142857
"Acalypha","Acalypha virginica",202,170,372,54.3010752688172,45.6989247311828
"Acalypha","Acalypha wilkesiana",1,0,1,100,0
"Acanthus","Acanthus mollis",3,0,3,100,0
"Acer","Acer campestre",27,32,59,45.7627118644068,54.2372881355932
"Acer","Acer freemanii",14,32,46,30.4347826086957,69.5652173913043
"Acer","Acer negundo",964,1554,2518,38.2843526608419,61.7156473391581
"Acer","Acer nigrum",42,26,68,61.7647058823529,38.2352941176471
"Acer","Acer palmatum",70,180,250,28,72
"Acer","Acer pensylvanicum",336,745,1081,31.0823311748381,68.9176688251619
"Acer","Acer pictum",1,0,1,100,0
"Acer","Acer platanoides",904,1397,2301,39.2872664059105,60.7127335940895
"Acer","Acer pseudoplatanus",77,276,353,21.8130311614731,78.1869688385269
"Acer","Acer rubrum",850,1327,2177,39.0445567294442,60.9554432705558
"Acer","Acer saccharinum",488,448,936,52.1367521367521,47.8632478632479
"Acer","Acer saccharum",355,533,888,39.9774774774775,60.0225225225225
"Acer","Acer spicatum",39,140,179,21.7877094972067,78.2122905027933
"Acer","Acer tataricum",19,33,52,36.5384615384615,63.4615384615385
"Achillea","Achillea filipendulina",6,23,29,20.6896551724138,79.3103448275862
"Achillea","Achillea millefolium",948,1109,2057,46.0865337870685,53.9134662129315
"Achillea","Achillea ptarmica",6,15,21,28.5714285714286,71.4285714285714
"Aconitum","Aconitum napellus",1,3,4,25,75
"Aconitum","Aconitum uncinatum",3,0,3,100,0
"Acorus","Acorus calamus",10,16,26,38.4615384615385,61.5384615384615
"Actaea","Actaea pachypoda",214,643,857,24.9708284714119,75.0291715285881
"Actaea","Actaea podocarpa",1,0,1,100,0
"Actaea","Actaea racemosa",250,115,365,68.4931506849315,31.5068493150685
"Actaea","Actaea rubra",14,197,211,6.63507109004739,93.3649289099526
"Actinidia","Actinidia arguta",7,9,16,43.75,56.25
"Adiantum","Adiantum pedatum",244,336,580,42.0689655172414,57.9310344827586
"Adlumia","Adlumia fungosa",7,5,12,58.3333333333333,41.6666666666667
"Aegopodium","Aegopodium podagraria",465,566,1031,45.101842870999,54.898157129001
"Aesculus","Aesculus flava",18,44,62,29.0322580645161,70.9677419354839
"Aesculus","Aesculus glabra",32,58,90,35.5555555555556,64.4444444444444
"Aesculus","Aesculus hippocastanum",56,258,314,17.8343949044586,82.1656050955414
"Aesculus","Aesculus parviflora",63,202,265,23.7735849056604,76.2264150943396
"Aesculus","Aesculus pavia",37,26,63,58.7301587301587,41.2698412698413
"Aethusa","Aethusa cynapium",9,0,9,100,0
"Agalinis","Agalinis purpurea",37,23,60,61.6666666666667,38.3333333333333
"Agalinis","Agalinis tenuifolia",5,31,36,13.8888888888889,86.1111111111111
"Agastache","Agastache foeniculum",29,55,84,34.5238095238095,65.4761904761905
"Agastache","Agastache nepetoides",20,9,29,68.9655172413793,31.0344827586207
"Agastache","Agastache scrophulariifolia",1,2,3,33.3333333333333,66.6666666666667
"Ageratina","Ageratina altissima",2053,8519,10572,19.4192205826712,80.5807794173288
"Ageratina","Ageratina aromatica",26,6,32,81.25,18.75
"Agrimonia","Agrimonia gryposepala",8,21,29,27.5862068965517,72.4137931034483
"Agrimonia","Agrimonia parviflora",117,35,152,76.9736842105263,23.0263157894737
"Agrimonia","Agrimonia rostellata",1,1,2,50,50
"Agrostemma","Agrostemma githago",4,1,5,80,20
"Agrostis","Agrostis gigantea",2,3,5,40,60
"Agrostis","Agrostis perennans",6,2,8,75,25
"Ailanthus","Ailanthus altissima",1319,4421,5740,22.9790940766551,77.0209059233449
"Ajania","Ajania pacifica",1,0,1,100,0
"Ajuga","Ajuga genevensis",2,3,5,40,60
"Ajuga","Ajuga reptans",657,658,1315,49.9619771863118,50.0380228136882
"Akebia","Akebia quinata",79,73,152,51.9736842105263,48.0263157894737
"Albizia","Albizia julibrissin",243,268,511,47.5538160469667,52.4461839530333
"Alcea","Alcea rosea",18,36,54,33.3333333333333,66.6666666666667
"Alchemilla","Alchemilla mollis",4,4,8,50,50
"Alisma","Alisma subcordatum",28,10,38,73.6842105263158,26.3157894736842
"Alkekengi","Alkekengi officinarum",9,30,39,23.0769230769231,76.9230769230769
"Alliaria","Alliaria petiolata",4453,5803,10256,43.4184867394696,56.5815132605304
"Allium","Allium canadense",27,17,44,61.3636363636364,38.6363636363636
"Allium","Allium cernuum",28,14,42,66.6666666666667,33.3333333333333
"Allium","Allium moly",1,1,2,50,50
"Allium","Allium multibulbosum",1,0,1,100,0
"Allium","Allium oleraceum",5,0,5,100,0
"Allium","Allium schoenoprasum",30,53,83,36.144578313253,63.855421686747
"Allium","Allium tricoccum",45,68,113,39.8230088495575,60.1769911504425
"Allium","Allium tuberosum",41,67,108,37.962962962963,62.037037037037
"Allium","Allium vineale",305,637,942,32.3779193205945,67.6220806794055
"Alnus","Alnus glutinosa",30,80,110,27.2727272727273,72.7272727272727
"Alnus","Alnus incana",10,35,45,22.2222222222222,77.7777777777778
"Alnus","Alnus serrulata",16,20,36,44.4444444444444,55.5555555555556
"Alopecurus","Alopecurus aequalis",1,0,1,100,0
"Alopecurus","Alopecurus carolinianus",1,0,1,100,0
"Alopecurus","Alopecurus pratensis",2,4,6,33.3333333333333,66.6666666666667
