"genus","species","pa","ny","total","pa.pc","ny.pc","evenness"
"Artemisia","Artemisia vulgaris",1500,11089,12589,11.9151640320915,88.0848359679085,0.23830328064183
"Asclepias","Asclepias syriaca",1742,4806,6548,26.6035430665852,73.3964569334148,0.532070861331704
"Ailanthus","Ailanthus altissima",1319,4421,5740,22.9790940766551,77.0209059233449,0.459581881533101
"Rosa","Rosa multiflora",2082,2893,4975,41.8492462311558,58.1507537688442,0.836984924623116
"Rubus","Rubus phoenicolasius",2636,2235,4871,54.1161979059741,45.8838020940259,0.917676041880517
"Liriodendron","Liriodendron tulipifera",1927,1546,3473,55.485171321624,44.514828678376,0.890296573567521
"Rhus","Rhus typhina",1070,1932,3002,35.6429047301799,64.3570952698201,0.712858094603598
"Taraxacum","Taraxacum officinale",914,2044,2958,30.8992562542258,69.1007437457742,0.617985125084517
"Trifolium","Trifolium repens",1005,1754,2759,36.4262413918086,63.5737586081914,0.728524827836172
"Prunus","Prunus serotina",554,2003,2557,21.6660148611654,78.3339851388346,0.433320297223309
"Acer","Acer negundo",964,1554,2518,38.2843526608419,61.7156473391581,0.765687053216839
"Robinia","Robinia pseudoacacia",766,1672,2438,31.4191960623462,68.5808039376538,0.628383921246924
"Acer","Acer platanoides",904,1397,2301,39.2872664059105,60.7127335940895,0.785745328118209
"Acer","Acer rubrum",850,1327,2177,39.0445567294442,60.9554432705558,0.780891134588884
"Lonicera","Lonicera maackii",1484,569,2053,72.2844617632733,27.7155382367267,0.554310764734535
"Rubus","Rubus occidentalis",860,1177,2037,42.2189494354443,57.7810505645557,0.844378988708886
"Lonicera","Lonicera japonica",905,1083,1988,45.523138832998,54.476861167002,0.91046277665996
"Asclepias","Asclepias tuberosa",750,1130,1880,39.8936170212766,60.1063829787234,0.797872340425532
"Cercis","Cercis canadensis",948,796,1744,54.3577981651376,45.6422018348624,0.912844036697248
"Rubus","Rubus odoratus",442,1137,1579,27.9924002533249,72.0075997466751,0.559848005066498
"Asclepias","Asclepias incarnata",474,958,1432,33.1005586592179,66.8994413407821,0.662011173184358
