"genus","species","scientificName"
"Reynoutria","japonica","Reynoutria japonica"
"Houttuynia","cordata","Houttuynia cordata"
"Juniperus","virginiana","Juniperus virginiana"
"Cornus","kousa","Cornus kousa"
"Erechtites","hieraciifolius","Erechtites hieraciifolius"
"Berberis","thunbergii","Berberis thunbergii"
"Comptonia","peregrina","Comptonia peregrina"
"Triodanis","perfoliata","Triodanis perfoliata"
"Rubus","phoenicolasius","Rubus phoenicolasius"
"Onoclea","sensibilis","Onoclea sensibilis"
"Alliaria","petiolata","Alliaria petiolata"
"Ajuga","reptans","Ajuga reptans"
"Rubus","idaeus","Rubus idaeus"
"Penstemon","digitalis","Penstemon digitalis"
"Potentilla","indica","Potentilla indica"
"Ficus","carica","Ficus carica"
"Sassafras","albidum","Sassafras albidum"
"Parthenocissus","quinquefolia","Parthenocissus quinquefolia"
"Acalypha","virginica","Acalypha virginica"
"Ornithogalum","umbellatum","Ornithogalum umbellatum"
"Lactuca","canadensis","Lactuca canadensis"
"Hibiscus","syriacus","Hibiscus syriacus"
"Oenothera","fruticosa","Oenothera fruticosa"
"Lamium","purpureum","Lamium purpureum"
"Vinca","minor","Vinca minor"
"Liriodendron","tulipifera","Liriodendron tulipifera"
"Matteuccia","struthiopteris","Matteuccia struthiopteris"
"Fagus","sylvatica","Fagus sylvatica"
"Rhus","copallina","Rhus copallina"
"Lunaria","annua","Lunaria annua"
"Elaeagnus","umbellata","Elaeagnus umbellata"
"Geranium","sanguineum","Geranium sanguineum"
"Monarda","fistulosa","Monarda fistulosa"
"Hydrangea","paniculata","Hydrangea paniculata"
"Aesculus","parviflora","Aesculus parviflora"
"Cornus","florida","Cornus florida"
"Viola","sororia","Viola sororia"
"Ficaria","verna","Ficaria verna"
"Asclepias","syriaca","Asclepias syriaca"
"Commelina","communis","Commelina communis"
"Picea","abies","Picea abies"
"Juniperus","communis","Juniperus communis"
"Ailanthus","altissima","Ailanthus altissima"
"Chimaphila","maculata","Chimaphila maculata"
"Toxicodendron","radicans","Toxicodendron radicans"
"Datura","stramonium","Datura stramonium"
"Artemisia","vulgaris","Artemisia vulgaris"
"Lamium","amplexicaule","Lamium amplexicaule"
"Lysimachia","nummularia","Lysimachia nummularia"
"Albizia","julibrissin","Albizia julibrissin"
"Trifolium","pratense","Trifolium pratense"
"Solanum","dulcamara","Solanum dulcamara"
"Paeonia","lactiflora","Paeonia lactiflora"
"Persicaria","perfoliata","Persicaria perfoliata"
"Potentilla","norvegica","Potentilla norvegica"
"Erigeron","philadelphicus","Erigeron philadelphicus"
"Chenopodium","album","Chenopodium album"
"Robinia","pseudoacacia","Robinia pseudoacacia"
"Euonymus","alatus","Euonymus alatus"
"Portulaca","oleracea","Portulaca oleracea"
"Perilla","frutescens","Perilla frutescens"
"Lysimachia","quadrifolia","Lysimachia quadrifolia"
"Rosa","multiflora","Rosa multiflora"
"Datura","wrightii","Datura wrightii"
"Brunnera","macrophylla","Brunnera macrophylla"
"Acer","palmatum","Acer palmatum"
"Viburnum","dilatatum","Viburnum dilatatum"
"Dianthus","armeria","Dianthus armeria"
"Campsis","radicans","Campsis radicans"
"Prunus","serotina","Prunus serotina"
"Epipactis","helleborine","Epipactis helleborine"
"Pinus","rigida","Pinus rigida"
"Vicia","villosa","Vicia villosa"
"Quercus","ilicifolia","Quercus ilicifolia"
"Chelidonium","majus","Chelidonium majus"
"Chelone","glabra","Chelone glabra"
"Kerria","japonica","Kerria japonica"
"Potentilla","simplex","Potentilla simplex"
"Quercus","alba","Quercus alba"
"Rumex","obtusifolius","Rumex obtusifolius"
"Asclepias","incarnata","Asclepias incarnata"
"Lespedeza","virginica","Lespedeza virginica"
"Solanum","carolinense","Solanum carolinense"
"Vincetoxicum","rossicum","Vincetoxicum rossicum"
"Eupatorium","hyssopifolium","Eupatorium hyssopifolium"
"Coreopsis","tinctoria","Coreopsis tinctoria"
"Crocanthemum","canadense","Crocanthemum canadense"
"Quercus","prinoides","Quercus prinoides"
"Paulownia","tomentosa","Paulownia tomentosa"
"Desmodium","marilandicum","Desmodium marilandicum"
"Nuttallanthus","canadensis","Nuttallanthus canadensis"
"Populus","grandidentata","Populus grandidentata"
"Lysimachia","clethroides","Lysimachia clethroides"
"Coronilla","varia","Coronilla varia"
"Eupatorium","perfoliatum","Eupatorium perfoliatum"
"Carex","scoparia","Carex scoparia"
"Oxydendrum","arboreum","Oxydendrum arboreum"
"Ludwigia","alternifolia","Ludwigia alternifolia"
"Thuja","occidentalis","Thuja occidentalis"
"Cypripedium","acaule","Cypripedium acaule"
"Convallaria","majalis","Convallaria majalis"
"Hamamelis","virginiana","Hamamelis virginiana"
"Maianthemum","canadense","Maianthemum canadense"
"Sitobolium","punctilobum","Sitobolium punctilobum"
"Nymphaea","odorata","Nymphaea odorata"
"Melampyrum","lineare","Melampyrum lineare"
"Apocynum","cannabinum","Apocynum cannabinum"
"Monotropa","uniflora","Monotropa uniflora"
"Alcea","rosea","Alcea rosea"
"Phytolacca","americana","Phytolacca americana"
"Smilax","rotundifolia","Smilax rotundifolia"
"Frangula","alnus","Frangula alnus"
"Lyonia","ligustrina","Lyonia ligustrina"
"Prunella","vulgaris","Prunella vulgaris"
"Verbascum","thapsus","Verbascum thapsus"
"Myriophyllum","aquaticum","Myriophyllum aquaticum"
"Persicaria","maculosa","Persicaria maculosa"
"Matricaria","discoidea","Matricaria discoidea"
"Castanea","dentata","Castanea dentata"
"Pteridium","aquilinum","Pteridium aquilinum"
"Pyrola","americana","Pyrola americana"
"Persicaria","pensylvanica","Persicaria pensylvanica"
"Cardamine","hirsuta","Cardamine hirsuta"
"Halesia","carolina","Halesia carolina"
"Lonicera","maackii","Lonicera maackii"
"Asparagus","officinalis","Asparagus officinalis"
"Tephrosia","virginiana","Tephrosia virginiana"
"Arctostaphylos","uva-ursi","Arctostaphylos uva-ursi"
"Amphicarpaea","bracteata","Amphicarpaea bracteata"
"Juncus","effusus","Juncus effusus"
"Cirsium","vulgare","Cirsium vulgare"
"Lyonia","mariana","Lyonia mariana"
"Geum","canadense","Geum canadense"
"Asclepias","tuberosa","Asclepias tuberosa"
"Miscanthus","sinensis","Miscanthus sinensis"
"Artemisia","annua","Artemisia annua"
"Prunus","persica","Prunus persica"
"Melissa","officinalis","Melissa officinalis"
"Berteroa","incana","Berteroa incana"
"Silene","coronaria","Silene coronaria"
"Pycnanthemum","muticum","Pycnanthemum muticum"
"Pachysandra","terminalis","Pachysandra terminalis"
"Spiraea","japonica","Spiraea japonica"
"Vitis","aestivalis","Vitis aestivalis"
"Rudbeckia","hirta","Rudbeckia hirta"
"Berberis","julianae","Berberis julianae"
"Leucothoe","fontanesiana","Leucothoe fontanesiana"
